"SchoolName","SchoolSystem","SchoolGrade","SchoolGradeLetter","SchoolGradeNumber","GrowtStatus","GradeLevel","FreeReduced","Latitude","Longitude"
"Northeast Middle","Charlotte-Mecklenburg Schools","D - 49","D","49","NotMet","45.2","68","35.19737296","-80.69343477"
"North Mecklenburg High","Charlotte-Mecklenburg Schools","C - 66","C","66","Met","48.8","60","35.37261500","-80.83584500"
"Northridge Middle","Charlotte-Mecklenburg Schools","D - 45","D","45","NotMet","39.8","82","35.26076889","-80.73059082"
"Northwest School of the Arts","Charlotte-Mecklenburg Schools","B - 84","B","84","Exceeded","77.3","42","35.25696100","-80.85739800"
"Oakdale Elementary","Charlotte-Mecklenburg Schools","D - 48","D","48","Met","39.4","86","35.30038400","-80.89713200"
"Oaklawn Language Academy","Charlotte-Mecklenburg Schools","B - 70","B","70","Met","66.7","77","35.25140700","-80.84989100"
"Bruns Academy","Charlotte-Mecklenburg Schools","F - 28","F","28","NotMet","20.1","94","35.25140700","-80.84989100"
"Olde Providence Elementary","Charlotte-Mecklenburg Schools","B - 78","B","78","NotMet","82.3","15","35.25140700","-80.84989100"
"Park Road Montessori","Charlotte-Mecklenburg Schools","B - 79","B","79","Met","79.8","12","35.17814600","-80.84809800"
"Palisades Park Elementary","Charlotte-Mecklenburg Schools","B - 78","B","78","Exceeded","73.6","39","35.09403415","-81.02464534"
"Paw Creek Elementary","Charlotte-Mecklenburg Schools","C - 57","C","57","Met","50.9","81","35.29241562","-80.94526672"
"Phillip O Berry Academy of Technology","Charlotte-Mecklenburg Schools","B - 77","B","77","Met","70.7","68","35.24008900","-80.89168500"
"Piedmont IB Middle","Charlotte-Mecklenburg Schools","A+ - 86","A","86","Exceeded","83.7","40","35.22337723","-80.82376099"
"Performance Learning Center","Cabarrus County Schools","C - 67","C","67","Met","40.2","49","35.29507828","-80.79581451"
"Performance Learning Center","Charlotte-Mecklenburg Schools","B - 71","B","71","Met","47.1","41","35.29507828","-80.79581451"
"Pineville Elementary","Charlotte-Mecklenburg Schools","C - 61","C","61","Exceeded","53.3","59","35.08328629","-80.89191437"
"Pinewood Elementary","Charlotte-Mecklenburg Schools","C - 55","C","55","Met","50.6","82","35.16506508","-80.86343989"
"Pinewood Elementary","Gaston County Schools","C - 60","C","60","Met","54.8","49","35.16506508","-80.86343989"
"Piney Grove Elementary","Charlotte-Mecklenburg Schools","C - 56","C","56","Met","49.9","79","35.17326300","-80.73095700"
"Piney Grove Elementary","Forsyth County Schools","B - 70","B","70","Met","68.6","31","35.17326300","-80.73095700"
"Piney Grove Elementary","Robeson County Schools","D - 46","D","46","NotMet","40.7","87","35.17326300","-80.73095700"
"Providence Spring Elementary","Charlotte-Mecklenburg Schools","A+ - 93","A","93","Exceeded","94.1","4","35.07276917","-80.76885223"
"Providence High","Charlotte-Mecklenburg Schools","A+ - 95","A","95","Exceeded","90.8","10","35.11220932","-80.76483154"
"Quail Hollow Middle","Charlotte-Mecklenburg Schools","D - 53","D","53","Met","46.3","70","35.11396700","-80.85453700"
"Rama Road Elementary","Charlotte-Mecklenburg Schools","D - 52","D","52","Exceeded","43.1","82","35.16975021","-80.77263641"
"Randolph Middle","Charlotte-Mecklenburg Schools","B - 79","B","79","Met","80.5","44","35.18352890","-80.79483032"
"Ranson Middle","Charlotte-Mecklenburg Schools","C - 55","C","55","Exceeded","44.3","84","35.30031200","-80.83725700"
"Reedy Creek Elementary","Charlotte-Mecklenburg Schools","C - 68","C","68","Exceeded","61.1","72","35.25976563","-80.68331909"
"Reedy Creek Elementary","Wake County Schools","C - 69","C","69","Met","65.3","51","35.25976563","-80.68331909"
"Reid Park Academy","Charlotte-Mecklenburg Schools","F - 34","F","34","Met","24.3","94","35.20466790","-80.90989776"
"Ridge Road Middle","Charlotte-Mecklenburg Schools","C - 66","C","66","Exceeded","57.9","52","35.37831075","-80.76154612"
"Sedgefield Elementary","Charlotte-Mecklenburg Schools","D - 48","D","48","NotMet","45.1","96","35.19009478","-80.86517930"
"Sedgefield Elementary","Guilford County Schools","D - 45","D","45","Met","38.7","100","35.19009478","-80.86517930"
"Sedgefield Middle","Charlotte-Mecklenburg Schools","F - 36","F","36","NotMet","31.0","85","35.19749832","-80.85578156"
"Stoney Creek Elementary","Caswell County Schools","C - 63","C","63","Met","59.0","97","35.34748413","-80.72465234"
"Stoney Creek Elementary","Charlotte-Mecklenburg Schools","D - 54","D","54","Met","50.1","68","35.34748413","-80.72465234"
"Selwyn Elementary","Charlotte-Mecklenburg Schools","A - 85","A","85","Exceeded","83.7","20","35.16756691","-80.83043732"
"Shamrock Gardens Elementary","Charlotte-Mecklenburg Schools","C - 59","C","59","Met","52.7","78","35.23416100","-80.78908500"
"Sharon Elementary","Charlotte-Mecklenburg Schools","B - 81","B","81","Met","83.3","17","35.15311400","-80.81769500"
"Sharon Elementary","Iredell-Statesville Schools","B - 71","B","71","Met","68.8","52","35.15311400","-80.81769500"
"Waddell Language Academy","Charlotte-Mecklenburg Schools","B - 78","B","78","Met","77.3","31","35.15311400","-80.81769500"
"Smithfield Elementary","Charlotte-Mecklenburg Schools","B - 73","B","73","Met","69.7","47","35.11072500","-80.85159300"
"South Mecklenburg High","Charlotte-Mecklenburg Schools","B - 82","B","82","Exceeded","70.6","46","35.11072500","-80.85159300"
"South Charlotte Middle","Charlotte-Mecklenburg Schools","A - 90","A","90","Exceeded","87.1","16","35.09029700","-80.79956000"
"Southwest Middle School","Charlotte-Mecklenburg Schools","C - 58","C","58","Exceeded","50.9","58","35.10760546","-80.98829202"
"Statesville Road Elementary","Charlotte-Mecklenburg Schools","C - 60","C","60","Exceeded","52.7","88","35.30004100","-80.84704500"
"Steele Creek Elementary","Charlotte-Mecklenburg Schools","D - 53","D","53","Met","45.7","73","35.15499339","-80.95724411"
"Sterling Elementary","Charlotte-Mecklenburg Schools","F - 33","F","33","NotMet","25.9","93","35.10756302","-80.88473511"
"Thomasboro Academy","Charlotte-Mecklenburg Schools","D - 42","D","42","Exceeded","31.4","94","35.25482900","-80.89930700"
"Torrence Creek Elementary","Charlotte-Mecklenburg Schools","B - 80","B","80","Exceeded","77.8","21","35.41239100","-80.87253500"
"Grand Oak Elementary","Charlotte-Mecklenburg Schools","A - 85","A","85","Exceeded","85.2","7","35.42672700","-80.87014700"
"Tuckaseegee Elementary","Charlotte-Mecklenburg Schools","D - 43","D","43","Met","35.2","85","35.25011800","-80.94403800"
"University Park Creative Arts","Charlotte-Mecklenburg Schools","C - 57","C","57","Exceeded","48.5","82","35.26081085","-80.85986328"
"University Meadows Elementary","Charlotte-Mecklenburg Schools","C - 57","C","57","Met","52.2","74","35.31501300","-80.71501900"
"Charlotte Engineering Early College-UNCC","Charlotte-Mecklenburg Schools","B - 81","B","81","Met","80.6","54","35.32566071","-80.74173737"
"Irwin Academic Center","Charlotte-Mecklenburg Schools","B - 78","B","78","NotMet","84.2","26","35.23711860","-80.85007243"
"Walter G Byers School","Charlotte-Mecklenburg Schools","F - 36","F","36","NotMet","27.8","93","35.24426600","-80.84239900"
"West Charlotte High","Charlotte-Mecklenburg Schools","D - 51","D","51","Met","28.8","87","35.26590700","-80.85964900"
"Westerly Hills Academy","Charlotte-Mecklenburg Schools","F - 33","F","33","NotMet","26.1","95","35.26590700","-80.85964900"
"West Mecklenburg High","Charlotte-Mecklenburg Schools","D - 53","D","53","Met","32.2","78","35.24923300","-80.95181200"
"Winding Springs Elementary","Charlotte-Mecklenburg Schools","D - 52","D","52","Exceeded","42.7","86","35.30560600","-80.82862800"
"Windsor Park Elementary","Charlotte-Mecklenburg Schools","C - 60","C","60","Met","57.0","89","35.30560600","-80.82862800"
"Winget Park Elementary","Charlotte-Mecklenburg Schools","B - 71","B","71","Exceeded","67.0","42","35.30560600","-80.82862800"
"Winterfield Elementary","Charlotte-Mecklenburg Schools","D - 42","D","42","Exceeded","30.4","94","35.30560600","-80.82862800"
"River Gate Elementary","Charlotte-Mecklenburg Schools","C - 69","C","69","Met","65.9","41","35.08737500","-80.97773700"
"Vance High","Charlotte-Mecklenburg Schools","C - 62","C","62","Exceeded","39.8","78","35.30317605","-80.77124432"
"Olympic High - Renaissance School","Charlotte-Mecklenburg Schools","B - 70","B","70","Exceeded","55.4","48","35.15818400","-80.95480300"
"Olympic High-Math Eng Tech Science","Charlotte-Mecklenburg Schools","B - 80","B","80","Exceeded","70.2","39","35.15818400","-80.95480300"
"Olympic TEAM High School","Charlotte-Mecklenburg Schools","C - 64","C","64","Met","58.9","65","35.15818400","-80.95480300"
"Olympic High-Leadership and Development","Charlotte-Mecklenburg Schools","C - 60","C","60","Met","33.8","65","35.15818400","-80.95480300"
"Olympic High - Biotech Health Pub Admin","Charlotte-Mecklenburg Schools","B - 73","B","73","Exceeded","53.8","54","35.15818400","-80.95480300"
"Community Charter School","Charter Schools","F - 39","F","39","Met","29.3","56","35.21030807","-80.83344269"
"Sugar Creek Charter","Charter Schools","C - 62","C","62","NotMet","60.6","88","35.25894928","-80.79830933"
"Kennedy Charter","Charter Schools","F - 33","F","33","NotMet","18.5","92","35.24184801","-80.85863873"
"Lake Norman Charter","Charter Schools","A - 86","A","86","Exceeded","83.0","3","35.39060200","-80.83670000"
"Metrolina Reg Scholars Academy","Charter Schools","A+ - 94","A","94","Met",">95","0","35.16869300","-80.88587100"
"Queen's Grant Community School","Charter Schools","B - 73","B","73","Met","69.2","17","35.16599200","-80.66215500"
"Crossroads Charter High","Charter Schools","F - 33","F","33","Met","18.8","90","35.26116100","-80.77337600"
"Community School of Davidson","Charter Schools","A+ - 86","A","86","Met","83.9","3","35.50835419","-80.85171509"
"Socrates Academy","Charter Schools","B - 83","B","83","Met","83.1","19","35.07267300","-80.72806500"
"Charlotte Secondary","Charter Schools","D - 53","D","53","NotMet","51.8","40","35.15198100","-80.74859600"
"KIPP Charlotte","Charter Schools","C - 61","C","61","Exceeded","54.4","76","35.25056839","-80.76697540"
"Corvian Community School","Charter Schools","B - 78","B","78","Met","77.7","2","35.32300900","-80.75634700"
"Aristotle Preparatory Academy","Charter Schools","D - 48","D","48","Met","38.6","78","35.22455597","-80.88190460"
"Charlotte Choice Charter","Charter Schools","F - 34","F","34","NotMet","26.4","52","35.24412155","-80.79491425"
"Bradford Preparatory School","Charter Schools","B - 71","B","71","Met","70.3","16","35.34506200","-80.71928400"
"Commonwealth High","Charter Schools","NA - NA","N","","NA","23.5","71","35.20971200","-80.75859000"
"Charlotte Learning Academy","Charter Schools","F - 38","F","38","Met","26.6","83","35.18158300","-80.86452400"
"Pioneer Springs Community School","Charter Schools","D - 51","D","51","NotMet","47.8","2","35.34702600","-80.82289800"
"Bowman Middle","Mitchell County Schools","C - 65","C","65","Met","60.9","52","36.01087220","-82.15528496"
"Deyton Elementary","Mitchell County Schools","C - 65","C","65","Exceeded","58.6","63","35.90924799","-82.08760612"
"Gouge Elementary","Mitchell County Schools","D - 52","D","52","Met","44.2","62","35.90924799","-82.08760612"
"Greenlee Primary","Mitchell County Schools","I - NA","I","","NA","NA","67","35.88259086","-82.05531232"
"Harris Middle","Mitchell County Schools","C - 59","C","59","Met","56.6","60","35.91062263","-82.08513111"
"Mayland Early College","Mitchell County Schools","B - 74","B","74","Met","66.7","69","35.93299493","-82.01629892"
"Mitchell High","Mitchell County Schools","B - 70","B","70","Met","57.0","47","35.97116746","-82.11843610"
"Thunderbird Prep","Charter Schools","C - 65","C","65","NotMet","66.4","2","35.45124806","-80.84322341"
"United Community School","Charter Schools","I - NA","I","","NA","NA","36","35.19880676","-80.72261810"
"Montgomery Learning Academy","Montgomery County Schools","NA - NA","N","","NA","<5","87","35.35628445","-79.89380658"
"Candor Elementary","Montgomery County Schools","C - 59","C","59","Met","54.4","92","35.35628445","-79.89380658"
"East Middle","Montgomery County Schools","D - 52","D","52","Exceeded","42.8","87","35.31453319","-79.75974709"
"East Montgomery High","Montgomery County Schools","B - 74","B","74","Exceeded","54.4","69","35.33704300","-79.77967800"
"Green Ridge Elementary","Montgomery County Schools","C - 56","C","56","Exceeded","45.4","87","35.33987427","-79.78265381"
"Mount Gilead Elementary","Montgomery County Schools","D - 54","D","54","Met","47.6","78","35.21492399","-80.00357129"
"Page Street Elementary","Montgomery County Schools","C - 66","C","66","Met","60.9","63","35.36912100","-79.87537300"
"Star Elementary","Montgomery County Schools","C - 63","C","63","Met","58.0","73","35.39563370","-79.78321075"
"Troy Elementary","Montgomery County Schools","I - NA","I","","NA","NA","66","35.36165619","-79.89012909"
"West Middle","Montgomery County Schools","D - 50","D","50","Met","43.3","65","35.21664047","-79.97742462"
"West Montgomery High","Montgomery County Schools","C - 55","C","55","NotMet","36.9","60","35.29644839","-79.96118031"
"Aberdeen Primary","Moore County Schools","I - NA","I","","NA","NA","78","35.12396600","-79.42346900"
"Aberdeen Elementary","Moore County Schools","D - 41","D","41","NotMet","35.0","78","35.13957596","-79.42604828"
"Cameron Elementary","Moore County Schools","D - 54","D","54","NotMet","53.4","58","35.26846088","-79.06608827"
"Carthage Elementary","Moore County Schools","C - 66","C","66","Exceeded","60.0","59","35.34079700","-79.41692300"
"Crain's Creek Middle","Moore County Schools","C - 63","C","63","Exceeded","56.0","49","35.27231216","-79.28472900"
"Elise Middle","Moore County Schools","D - 52","D","52","Exceeded","40.9","89","35.43629074","-79.58939362"
"Sandhills Farm Life Elementary","Moore County Schools","B - 76","B","76","Met","74.2","22","35.43629074","-79.58939362"
"Highfalls Elementary","Moore County Schools","C - 61","C","61","NotMet","58.8","42","35.55261545","-79.54240367"
"The Community Learning Center @ Pinckney","Moore County Schools","NA - NA","N","","NA","6.2","83","35.55261545","-79.54240367"
"New Century Middle","Moore County Schools","B - 70","B","70","Met","69.3","36","35.32537079","-79.35514832"
"North Moore High","Moore County Schools","C - 69","C","69","Met","52.2","54","35.46628654","-79.55249280"
"Pinecrest High","Moore County Schools","B - 72","B","72","Met","59.6","32","35.18400900","-79.43373100"
"Pinehurst Elementary","Moore County Schools","B - 79","B","79","Exceeded","76.8","15","35.18400900","-79.43373100"
"Robbins Elementary","Moore County Schools","F - 39","F","39","NotMet","33.3","89","35.18400900","-79.43373100"
"Southern Middle","Alamance-Burlington Schools","C - 60","C","60","Met","54.6","40","35.15519714","-79.42684174"
"Southern Middle","Moore County Schools","D - 50","D","50","NotMet","47.5","59","35.15519714","-79.42684174"
"Southern Middle","Person County Schools","D - 50","D","50","NotMet","47.7","66","35.15519714","-79.42684174"
"Southern Pines Primary","Moore County Schools","I - NA","I","","NA","NA","55","35.18463516","-79.40583038"
"Southern Pines Elementary","Moore County Schools","C - 64","C","64","Met","61.3","50","35.16978073","-79.39131165"
"Union Pines High","Moore County Schools","B - 74","B","74","Exceeded","57.2","33","35.31502914","-79.34410858"
"Vass-Lakeview Elementary","Moore County Schools","C - 63","C","63","NotMet","62.0","56","35.25085068","-79.29161072"
"West End Elementary","Moore County Schools","C - 64","C","64","NotMet","63.6","38","35.53934479","-79.18541718"
