school_name_value,school_system_value,schoolgrade_value,growthstatus_value,gradelevel_value,freereduced_value
"Jones Elementary","Mount Airy City Schools","B - 72","Exceeded","66.5","66"
"Mount Airy High","Mount Airy City Schools","B - 80","Exceeded","62.6","44"
"Mount Airy Middle","Mount Airy City Schools","C - 68","Met","64.3","55"
"Fairview Elementary","Nash-Rocky Mount Schools","I - NA","NA","NA","100"
"Bailey Elementary","Nash-Rocky Mount Schools","C - 55","Met","49.5","81"
"Baskerville Elementary","Nash-Rocky Mount Schools","D - 40","NotMet","35.1","100"
"Benvenue Elementary","Nash-Rocky Mount Schools","D - 51","Met","43.2","76"
"Cedar Grove Elementary","Nash-Rocky Mount Schools","D - 54","Met","47.0","100"
"Nash Central Middle","Nash-Rocky Mount Schools","D - 54","Met","46.6","59"
"Coopers Elementary","Nash-Rocky Mount Schools","C - 61","NotMet","59.9","52"
"D S Johnson Elementary","Nash-Rocky Mount Schools","F - 39","Exceeded","27.2","100"
"Englewood Elementary","Nash-Rocky Mount Schools","D - 51","Met","43.8","68"
"G R Edwards Middle","Nash-Rocky Mount Schools","D - 54","Exceeded","46.1","73"
"M B Hubbard Elementary","Nash-Rocky Mount Schools","F - 34","NotMet","26.2","80"
"J W Parker Middle","Nash-Rocky Mount Schools","F - 36","Met","25.6","100"
"Rocky Mount Middle","Nash-Rocky Mount Schools","F - 38","Met","29.5","100"
"Middlesex Elementary","Nash-Rocky Mount Schools","C - 56","Exceeded","47.3","100"
"Tar River Academy","Nash-Rocky Mount Schools","NA - NA","NA","<5","100"
"Nash Central High","Nash-Rocky Mount Schools","D - 49","NotMet","28.4","58"
"NRM Early College High School","Nash-Rocky Mount Schools","B - 84","Exceeded","77.1","45"
"Nashville Elementary","Nash-Rocky Mount Schools","D - 52","NotMet","48.1","62"
"Northern Nash High","Nash-Rocky Mount Schools","C - 55","NotMet","36.8","52"
"Red Oak Middle","Nash-Rocky Mount Schools","D - 54","Exceeded","44.5","59"
"Red Oak Elementary","Nash-Rocky Mount Schools","I - NA","NA","NA","54"
"Rocky Mount High","Nash-Rocky Mount Schools","D - 49","NotMet","32.8","70"
"Southern Nash Middle","Nash-Rocky Mount Schools","D - 53","Exceeded","42.8","59"
"Southern Nash High","Nash-Rocky Mount Schools","C - 55","NotMet","36.9","59"
"Spring Hope Elementary","Nash-Rocky Mount Schools","D - 46","NotMet","40.4","74"
"Swift Creek Elementary","Nash-Rocky Mount Schools","C - 65","Met","61.6","56"
"Williford Elementary","Nash-Rocky Mount Schools","D - 41","Met","31.0","100"
"Winstead Avenue Elementary","Nash-Rocky Mount Schools","I - NA","NA","NA","71"
"Bradley Creek Elementary","New Hanover County Schools","C - 69","Met","64.8","57"
"Carolina Beach Elementary","New Hanover County Schools","B - 77","Exceeded","74.4","36"
"Castle Hayne Elementary","New Hanover County Schools","C - 68","Met","65.6","63"
"Charles P Murray Middle","New Hanover County Schools","C - 66","NotMet","68.5","41"
"R Freeman Sch of Engineering","New Hanover County Schools","F - 36","Met","27.0","100"
"College Park Elementary","New Hanover County Schools","C - 57","Exceeded","50.4","77"
"Edwin A Anderson Elementary","New Hanover County Schools","B - 70","Met","67.1","41"
"Edwin A Alderman Elementary","New Hanover County Schools","C - 58","Met","53.0","100"
"Emma B Trask Middle","New Hanover County Schools","C - 67","Met","63.6","48"
"Emsley A Laney High","New Hanover County Schools","B - 70","NotMet","58.3","38"
"Eugene Ashley High","New Hanover County Schools","C - 69","NotMet","58.9","41"
"Forest Hills Global Elementary","New Hanover County Schools","C - 62","Met","56.3","88"
"Gregory School of Math Science and Tech","New Hanover County Schools","D - 50","Met","43.2","100"
"Heyward C Bellamy Elem","New Hanover County Schools","B - 78","Exceeded","75.0","39"
"Holly Tree Elementary","New Hanover County Schools","B - 83","Met","84.0","29"
"Isaac M Bear High","New Hanover County Schools","A - 95","Exceeded","94.2","48"
"John J Blair Elementary","New Hanover County Schools","C - 64","Met","60.9","41"
"John T Hoggard High","New Hanover County Schools","B - 77","Met","69.5","27"
"Holly Shelter Middle","New Hanover County Schools","C - 63","Met","57.7","53"
"Lake Forest Academy","New Hanover County Schools","NA - NA","NA","6.0","100"
"Mary C Williams Elementary","New Hanover County Schools","C - 66","Exceeded","59.2","99"
"Murrayville Elementary","New Hanover County Schools","B - 71","Met","69.7","46"
"M C S Noble Middle","New Hanover County Schools","B - 75","Met","74.1","32"
"Myrtle Grove Middle","New Hanover County Schools","C - 62","NotMet","63.8","46"
"New Hanover High","New Hanover County Schools","C - 66","NotMet","55.0","51"
"Dr Hubert Eaton Sr Elem","New Hanover County Schools","B - 84","Exceeded","84.2","16"
"Lakeside","New Hanover County Schools","NA - NA","NA","12.0","90"
"Mary Sidberry Mosley PLC","New Hanover County Schools","NA - NA","NA","8.5","99"
"Ogden Elementary","New Hanover County Schools","A+ - 86","Met","87.7","16"
"Pine Valley Elementary","New Hanover County Schools","B - 72","Exceeded","68.0","48"
"Roland-Grise Middle","New Hanover County Schools","C - 66","NotMet","68.1","31"
"Dr John Codington Elem","New Hanover County Schools","A+ - 85","Met","84.9","26"
"Sunset Park Elementary","New Hanover County Schools","C - 56","Met","49.3","100"
"Walter L Parsley Elementary","New Hanover County Schools","A+ - 90","Exceeded","89.9","14"
"A H Snipes Academy of Arts/Des","New Hanover County Schools","F - 39","Met","29.6","100"
"Williston Middle","New Hanover County Schools","D - 46","NotMet","43.0","100"
"Wilmington Early College High","New Hanover County Schools","A - 87","Met","79.7","51"
"Winter Park Model Elementary","New Hanover County Schools","D - 52","Met","45.7","96"
"Wrightsboro Elementary","New Hanover County Schools","C - 55","Met","47.2","100"
"Wrightsville Beach Elem","New Hanover County Schools","A - 94","Exceeded",">95","11"
"D.C. Virgo Preparatory Academy","New Hanover County Schools","D - 42","Met","31.9","100"
"College Road Early Childhood Center","New Hanover County Schools","I - NA","NA","NA","86"
"Conover Special Education","Newton Conover City Schools","NA - NA","NA","28.4","65"
"Newton-Conover High","Newton Conover City Schools","C - 65","NotMet","46.3","56"
"Newton-Conover Middle","Newton Conover City Schools","D - 42","NotMet","39.7","65"
"Shuford Elementary","Newton Conover City Schools","C - 67","Met","65.3","60"
"South Newton Elementary","Newton Conover City Schools","C - 56","Met","52.1","83"
"North Newton Elementary","Newton Conover City Schools","C - 59","Exceeded","52.3","82"
"Discovery High School","Newton Conover City Schools","B - 81","NotMet","80.1","45"
"Central Elementary","Northampton County Schools","F - 36","Met","26.1","92"
"Conway Middle","Northampton County Schools","F - 32","NotMet","26.1","82"
"Gaston Elementary","Northampton County Schools","F - 39","Met","29.5","94"
"Gaston Middle","Northampton County Schools","F - 33","Met","23.7","88"
"Northampton County High School","Northampton County Schools","D - 47","NotMet","24.0","81"
"Squire Elementary","Northampton County Schools","I - NA","NA","NA","92"
"Willis Hare Elementary","Northampton County Schools","D - 49","NotMet","44.5","89"
"Bell Fork Elementary","Onslow County Schools","C - 65","Met","61.7","63"
"Blue Creek Elementary","Onslow County Schools","C - 56","NotMet","52.8","63"
"Carolina Forest Elementary","Onslow County Schools","B - 70","Met","69.0","36"
"Clyde Erwin Elementary","Onslow County Schools","D - 53","NotMet","49.3","74"
"Dixon Elementary","Onslow County Schools","B - 74","Exceeded","70.6","35"
"Dixon Middle","Onslow County Schools","D - 53","NotMet","50.7","44"
"Dixon High","Onslow County Schools","B - 70","Met","54.0","34"
"Hunters Creek Elementary","Onslow County Schools","C - 67","Met","62.5","69"
"Hunters Creek Middle","Onslow County Schools","D - 45","NotMet","42.8","43"
"Jacksonville Commons Elem","Onslow County Schools","C - 59","NotMet","57.2","55"
"Jacksonville High","Onslow County Schools","B - 72","Exceeded","54.9","37"
"Jacksonville Commons Middle","Onslow County Schools","D - 47","NotMet","43.1","54"
"Meadow View Elementary","Onslow County Schools","C - 61","Met","54.9","51"
"Morton Elementary","Onslow County Schools","C - 62","Exceeded","55.6","51"
"New Bridge Middle","Onslow County Schools","C - 67","Met","62.3","36"
"Northwoods Elementary","Onslow County Schools","C - 55","Exceeded","47.7","69"
"Northside High","Onslow County Schools","B - 75","Exceeded","60.1","41"
"Queens Creek Elementary","Onslow County Schools","C - 66","Met","64.2","48"
"Northwoods Park Middle","Onslow County Schools","D - 41","NotMet","38.9","48"
"Richlands Primary","Onslow County Schools","I - NA","NA","NA","41"
"Parkwood Elementary","Onslow County Schools","D - 54","NotMet","52.8","41"
"Richlands Elementary","Onslow County Schools","D - 51","NotMet","50.8","45"
"Richlands High","Onslow County Schools","C - 64","NotMet","52.3","34"
"Sand Ridge Elementary","Onslow County Schools","C - 64","Met","59.2","46"
"Silverdale Elementary","Onslow County Schools","D - 52","Met","47.5","49"
"Southwest Elementary","Onslow County Schools","C - 64","Met","61.8","51"
"Southwest High","Onslow County Schools","C - 68","Met","52.4","45"
"Southwest Middle","Onslow County Schools","C - 57","Met","53.2","55"
"Summersill Elementary","Onslow County Schools","C - 59","NotMet","57.3","57"
"Stateside Elementary","Onslow County Schools","C - 59","NotMet","59.9","33"
"Swansboro Elementary","Onslow County Schools","B - 70","Met","67.5","35"
"Swansboro Middle","Onslow County Schools","C - 62","Exceeded","54.7","43"
"Swansboro High","Onslow County Schools","B - 70","NotMet","58.9","33"
"Trexler Middle","Onslow County Schools","D - 54","NotMet","51.4","39"
"White Oak High","Onslow County Schools","B - 72","Exceeded","53.2","33"
"A L Stanback Middle","Orange County Schools","C - 65","Exceeded","59.3","49"
"Cameron Park Elementary","Orange County Schools","B - 75","Exceeded","71.8","36"
"Cedar Ridge High","Orange County Schools","C - 67","NotMet","57.2","31"
"Central Elementary","Orange County Schools","C - 57","Exceeded","49.0","69"
"Charles W Stanford Middle","Orange County Schools","C - 65","Met","63.4","34"
"Efland Cheeks Elementary","Orange County Schools","D - 51","Met","44.6","63"
"Gravelly Hill Middle","Orange County Schools","C - 63","Exceeded","55.4","44"
"Grady Brown Elementary","Orange County Schools","C - 65","Met","61.3","47"
"Hillsborough Elementary","Orange County Schools","B - 71","Met","71.2","16"
"New Hope Elementary","Orange County Schools","C - 66","Exceeded","59.8","63"
"Orange High","Orange County Schools","C - 66","NotMet","53.8","33"
"Partnership Academy","Orange County Schools","NA - NA","NA","36.4","63"
"Pathways Elementary","Orange County Schools","C - 66","Met","62.0","45"
"Fred A Anderson Elementary","Pamlico County Schools","C - 58","Met","53.2","64"
"Pamlico County Middle","Pamlico County Schools","C - 61","Exceeded","54.4","69"
"Pamlico County High","Pamlico County Schools","C - 66","NotMet","54.2","53"
"Pamlico County Primary","Pamlico County Schools","I - NA","NA","NA","73"
"Central Elementary","Pasquotank County Schools","C - 61","Met","56.1","59"
"Elizabeth City Middle","Pasquotank County Schools","D - 44","NotMet","39.9","66"
"H L Trigg Community","Pasquotank County Schools","NA - NA","NA","9.3","80"
"Northside Elementary","Pasquotank County Schools","C - 62","Met","60.2","56"
"J C Sawyer Elementary","Pasquotank County Schools","C - 56","Met","51.4","70"
"Northeastern High","Pasquotank County Schools","C - 64","Met","42.1","53"
"Pasquotank Elementary","Pasquotank County Schools","D - 50","Met","43.8","75"
"Pasquotank County High","Pasquotank County Schools","C - 60","Met","38.6","60"
"P W Moore Elementary","Pasquotank County Schools","D - 41","NotMet","35.7","89"
"River Road Middle","Pasquotank County Schools","D - 48","NotMet","45.1","61"
"Sheep-Harney Elementary","Pasquotank County Schools","D - 53","Met","46.0","82"
"Weeksville Elementary","Pasquotank County Schools","B - 70","Met","66.6","47"
"Burgaw Elementary","Pender County Schools","C - 57","Met","49.9","81"
"Burgaw Middle","Pender County Schools","D - 46","Met","37.4","74"
"Cape Fear Elementary","Pender County Schools","C - 66","Exceeded","58.5","67"
"Cape Fear Middle","Pender County Schools","D - 54","Met","46.1","70"
"Heide Trask High","Pender County Schools","C - 64","Met","44.4","66"
"North Topsail Elementary","Pender County Schools","B - 72","Exceeded","67.6","44"
"Malpass Corner Elementary","Pender County Schools","D - 54","Met","46.9","84"
"Pender High","Pender County Schools","C - 61","Met","43.0","73"
"Pender Early College High","Pender County Schools","A - 89","Exceeded","83.9","46"
"Penderlea Elementary","Pender County Schools","C - 59","Met","53.3","62"
"Rocky Point Elementary","Pender County Schools","D - 52","Exceeded","43.3","85"
"Topsail High","Pender County Schools","B - 81","Exceeded","69.4","26"
"Topsail Elementary","Pender County Schools","B - 80","Exceeded","76.8","31"
"Topsail Middle","Pender County Schools","B - 74","Exceeded","69.8","31"
"South Topsail Elementary","Pender County Schools","B - 76","Exceeded","73.5","26"
"West Pender Middle","Pender County Schools","D - 49","Exceeded","39.3","86"
"Perquimans Central","Perquimans County Schools","I - NA","NA","NA","66"
"Hertford Grammar","Perquimans County Schools","C - 62","Met","58.8","66"
"Perquimans County High","Perquimans County Schools","C - 60","NotMet","44.5","54"
"Perquimans County Middle","Perquimans County Schools","D - 43","NotMet","41.3","63"
"Helena Elementary","Person County Schools","B - 83","Exceeded","80.1","46"
"North Elementary","Person County Schools","D - 41","Met","30.8","100"
"North End Elementary","Person County Schools","C - 67","Exceeded","60.2","83"
"Northern Middle","Person County Schools","D - 46","NotMet","43.2","79"
"Oak Lane Elementary","Person County Schools","B - 70","Met","65.7","43"
"Person High","Person County Schools","C - 62","NotMet","46.8","55"
"Stories Creek Elementary","Person County Schools","B - 74","Met","71.4","84"
"South Elementary","Person County Schools","D - 40","NotMet","32.9","100"
"Southern Middle","Person County Schools","D - 50","NotMet","47.7","66"
"Woodland Elementary","Person County Schools","B - 79","Exceeded","77.7","52"
"A G Cox Middle","Pitt County Schools","C - 62","Exceeded","55.8","43"
"Ayden Elementary","Pitt County Schools","C - 56","Met","51.3","62"
"Ayden Middle","Pitt County Schools","C - 60","Exceeded","52.9","66"
"Ayden-Grifton High","Pitt County Schools","D - 52","NotMet","32.7","58"
"Belvoir Elementary","Pitt County Schools","D - 47","Exceeded","37.4","100"
"Bethel Elementary","Pitt County Schools","C - 55","Exceeded","45.8","64"
"C M Eppes Middle","Pitt County Schools","D - 46","Met","37.5","77"
